"","acao","desp_paga","dot_atu","PLOA","Custeio","Dívida","Investimento","Pessoal","Direta","Transferencia","Fontes de Emissão","Fontes próprias","Fontes Tesouro","orgao_valor_1","orgao_valor_2","orgao_valor_3","orgao_valor_4","orgao_valor_5","orgao_valor_6","tituloacao","gnd_predominante","textoacao","2021","2020","2019","2018","2017","2016"
"1","0005",33744947781.86,34145856028,34941608596,0.713395742142609,0,0.0843519525411148,0.202252305316276,1,0,0.58865885242486,2.86191746797392e-08,0.411341118955965,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__20568687218","25000 - Ministério da Economia__10122780942","22000 - Ministério da Agricultura, Pecuária e Abastecimento__2101876780","71000 - Encargos Financeiros da União__1058295267","26000 - Ministério da Educação__888771458","Demais__201196931","Sentenças Judiciais Transitadas em Julgado (Precatórios)","Custeio","SENTENCAS JUDICIAIS TRANSITADAS EM JULGADO (PRECATORIOS)",34941608596,35188823772,25953655511,23343822765,20207068557,19168365442
"2","0007",938730,2868730,3220000,1,0,0,0,0,1,0.68944099378882,0,0.31055900621118,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__2220000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à Agência Internacional de Pesos e Medidas - BIPM (ME)","Custeio","CONTRIBUICAO A AGENCIA INTERNACIONAL DE PESOS E MEDIDAS - BIPM (ME)",3220000,1000001,1827118,4046147,1722646,1218916
"3","000K",665410541.54,1325482578,935552337,1,0,0,0,1,0,1,0,0,"71000 - Encargos Financeiros da União__935552337",NA,NA,NA,NA,NA,"Subvenção Econômica em Operações de Financiamento no âmbito do Programa de Sustentação do Investimento - PSI e do Programa Emergencial de Reconstrução de Municípios Afetados por Desastres Naturais (Leis nº 12.096, de 2009 e nº 12.409, de 2011)","Custeio","SUBVENCAO ECONOMICA EM OPERACOES DE FINANCIAMENTO NO AMBITO DO PROGRAMA DE SUSTENTACAO DO INVESTIMENTO - PSI E DO PROGRAMA EMERGENCIAL DE RECONSTRUCAO DE MUNICIPIOS AFETADOS POR DESASTRES NATURAIS (LEIS N. 12.096, DE 200",935552337,1675482578,3362672000,4956822000,13567763000,9094828000
"4","0011",0,21438730,8880000,1,0,0,0,0,1,0.887387387387387,0,0.112612612612613,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__7880000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição ao Fundo Global para o Meio Ambiente - GEF (ME)","Custeio","CONTRIBUICAO AO FUNDO GLOBAL PARA O MEIO AMBIENTE - GEF (ME)",8880000,1000001,12123380,6292440,5926970,1253709
"5","0012",3668500636.37,5724819049,5952988593,0,0,1,0,1,0,0,1,0,"74000 - Operações Oficiais de Crédito__5952988593",NA,NA,NA,NA,NA,"Financiamentos ao Agronegócio Café (Lei nº 8.427, de 1992)","Investimento","FINANCIAMENTOS AO AGRONEGOCIO CAFE (LEI N. 8.427, DE 1992)",5952988593,5724819049,5071418186,5311565707,5136337551,4875584660
"6","0017",2808623.43,3449458,2042000,1,0,0,0,0,1,0.510284035259549,0,0.489715964740451,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1042000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à Organização Internacional do Café - OIC (MAPA)","Custeio","CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DO CAFE - OIC (MAPA)",2042000,1000001,1179528,903733,1820661,1916939
"7","0021",84050347.96,1.2e+08,1.25e+08,0,0,1,0,1,0,0,0,1,"74000 - Operações Oficiais de Crédito__1.25e+08",NA,NA,NA,NA,NA,"Financiamento para Modernização da Gestão Administrativa e Fiscal dos Municípios","Investimento","FINANCIAMENTO PARA MODERNIZACAO DA GESTAO ADMINISTRATIVA E FISCAL DOS MUNICIPIOS",1.25e+08,1.2e+08,127500000,1e+08,1.6e+08,107500000
"8","0022",713082135.02,981005387,890244714,0.311453688676437,0,0,0.688546311323563,1,0,0.247123062389787,0,0.752876937610213,"71000 - Encargos Financeiros da União__2.2e+08","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__2.2e+08","53000 - Ministério do Desenvolvimento Regional__212800000","22000 - Ministério da Agricultura, Pecuária e Abastecimento__74420000","32000 - Ministério de Minas e Energia__59387697","Demais__103637017","Sentenças Judiciais Devidas por Empresas Estatais","Pessoal","SENTENCAS JUDICIAIS DEVIDAS POR EMPRESAS ESTATAIS",852314714,928428051,911501290,542219381,554463156,534656814
"9","0023",266247047.94,763985975,225727429,1,0,0,0,1,0,0,1,0,"25000 - Ministério da Economia__225727429",NA,NA,NA,NA,NA,"Obrigações com a Garantia de Contratos de Financiamento Habitacional","Custeio","OBRIGACOES COM A GARANTIA DE CONTRATOS DE FINANCIAMENTO HABITACIONAL",225727429,763985975,925213394,858225190,468256872,578149795
"10","0026",12771380,29452631,21456263,1,0,0,0,1,0,0,1,0,"71000 - Encargos Financeiros da União__21456263",NA,NA,NA,NA,NA,"Cobertura de Déficit nas Operações de Seguro Rural","Custeio","COBERTURA DE DEFICIT NAS OPERACOES DE SEGURO RURAL",21456263,29716670,34642488,4.2e+07,2e+06,NA
"11","0027",866094749.79,1387560721,950099037,1,0,0,0,1,0,0,1,0,"71000 - Encargos Financeiros da União__950099037",NA,NA,NA,NA,NA,"Pagamentos no âmbito do Seguro de Crédito à Exportação","Custeio","PAGAMENTOS NO AMBITO DO SEGURO DE CREDITO A EXPORTACAO",950099037,1.4e+09,1466953533,75680000,550000,NA
"12","0029",2503706969.64,2819654279,2723462536,0,0,1,0,1,0,0,0,1,"74000 - Operações Oficiais de Crédito__2723462536",NA,NA,NA,NA,NA,"Financiamento aos Setores Produtivos da Região Centro-Oeste","Investimento","FINANCIAMENTO AOS SETORES PRODUTIVOS DA REGIAO CENTRO-OESTE",2723462536,2819654279,2627497293,2420695528,2390836978,1608617233
"13","0030",3755560453.69,4229481419,4085193803,0,0,1,0,1,0,0,0,1,"74000 - Operações Oficiais de Crédito__4085193803",NA,NA,NA,NA,NA,"Financiamento aos Setores Produtivos do Semiárido da Região Nordeste","Investimento","FINANCIAMENTO AOS SETORES PRODUTIVOS DO SEMIARIDO DA REGIAO NORDESTE",4085193803,4229481419,3941245942,3631043293,3586255468,2412925847
"14","0031",3755560453.65,4229481419,4085193803,0,0,1,0,1,0,0,0,1,"74000 - Operações Oficiais de Crédito__4085193803",NA,NA,NA,NA,NA,"Financiamento aos Setores Produtivos da Região Nordeste","Investimento","FINANCIAMENTO AOS SETORES PRODUTIVOS DA REGIAO NORDESTE",4085193803,4229481419,3941245942,3631043293,3586255468,2412925847
"15","0044",72881694126.47,80830089325,78072592671,1,0,0,0,0,1,0,0,1,"73000 - Transferências a Estados, Distrito Federal e Municípios__78072592671",NA,NA,NA,NA,NA,"Fundo de Participação dos Estados e do Distrito Federal - FPE (CF, art.159)","Custeio","FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL - FPE (CF, ART.159)",78072592671,80830089325,75321589128,69393271827,68537326748,65876705638
"16","0045",84818514055.9,92570982412,90782084500,1,0,0,0,0,1,0,0,1,"73000 - Transferências a Estados, Distrito Federal e Municípios__90782084500",NA,NA,NA,NA,NA,"Fundo de Participação dos Municípios - FPM (CF, art.159)","Custeio","FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)",90782084500,93988475957,87583243172,80689850961,79694565989,76600820513
"17","0046",4204118966.06,4743934333,4247697523,1,0,0,0,0,1,0,0,1,"73000 - Transferências a Estados, Distrito Federal e Municípios__4247697523",NA,NA,NA,NA,NA,"Transferência da Cota-Parte dos Estados e DF Exportadores na Arrecadação do IPI (CF, Art. 159)","Custeio","TRANSFERENCIA DA COTA-PARTE DOS ESTADOS E DF EXPORTADORES NA ARRECADACAO DO IPI (CF, ART. 159)",4247697523,4743934333,4976673171,4168572645,4176809615,4698950141
"18","0057",7136768.07,13745134,5138000,1,0,0,0,0,1,0.805371739976645,0,0.194628260023355,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__4138000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à Organização dos Estados Ibero-Americanos para a Educação, a Ciência e a Cultura - OEI (MEC)","Custeio","CONTRIBUICAO A ORGANIZACAO DOS ESTADOS IBERO-AMERICANOS PARA A EDUCACAO, A CIENCIA E A CULTURA - OEI (MEC)",5138000,1000001,2170597,19254581,3148818,2293691
"19","0061",169008042,169008042,78823333,0,0,1,0,1,0,0,1,0,"74000 - Operações Oficiais de Crédito__78823333",NA,NA,NA,NA,NA,"Concessão de Crédito para Aquisição de Imóveis Rurais e Investimentos Básicos - Fundo de Terras","Investimento","CONCESSAO DE CREDITO PARA AQUISICAO DE IMOVEIS RURAIS E INVESTIMENTOS BASICOS - FUNDO DE TERRAS",78823333,169008042,3e+08,3e+08,3e+08,3e+08
"20","0069",0,20364186,11664000,1,0,0,0,0,1,0.914266117969822,0,0.0857338820301783,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__10664000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição ao Centro Pan-Americano de Febre Aftosa - PANAFTOSA (MAPA)","Custeio","CONTRIBUICAO AO CENTRO PAN-AMERICANO DE FEBRE AFTOSA - PANAFTOSA (MAPA)",11664000,1000001,8238529,16958373,13078872,9199348
"21","006A",0,3e+08,3.5e+08,0,0,1,0,1,0,0,0,1,"54000 - Ministério do Turismo__3.5e+08",NA,NA,NA,NA,NA,"Investimentos Retornáveis no Setor Audiovisual mediante Participação em Empresas e Projetos - Fundo Setorial do Audiovisual","Investimento","INVESTIMENTOS RETORNAVEIS NO SETOR AUDIOVISUAL MEDIANTE PARTICIPACAO EM EMPRESAS E PROJETOS - FUNDO SETORIAL DO AUDIOVISUAL",3.5e+08,3e+08,6.5e+08,6e+08,5e+08,591765859
