"";"orgao";"acao_longa";"tipo_variacao";"ploa2021";"ploa2020";"variacao";"valor"
"1";"01000 - CAMARA DOS DEPUTADOS";"0531 - Compensação Financeira entre Entidades de Previdência Federal, Estadual e Municipal";"Reduções";225123;450246;-225123;1
"2";"01000 - CAMARA DOS DEPUTADOS";"0Z00 - Reserva de Contingência - Financeira";"Reduções";777275;2735199;-1957924;2,51895918432987
"3";"01000 - CAMARA DOS DEPUTADOS";"219I - Publicidade Institucional e de Utilidade Pública";"Aumentos";5e+06;2500000;2500000;1
"4";"03000 - TRIBUNAL DE CONTAS DA UNIAO";"0Z00 - Reserva de Contingência - Financeira";"Reduções";333118;938609;-605491;1,81764720009126
"5";"11000 - SUPERIOR TRIBUNAL DE JUSTICA";"14PU - Construção do Bloco G da Sede do STJ";"Reduções";5e+05;8100000;-7600000;15,2
"6";"11000 - SUPERIOR TRIBUNAL DE JUSTICA";"15SY - Construção do Edifício-Sede da ECORP";"Reduções";5e+05;3600000;-3100000;6,2
"7";"12000 - JUSTICA FEDERAL";"12RE - Construção do Edifício-Sede II Da Seção Judiciária em Goiânia - GO";"Reduções";710254;2e+06;-1289746;1,81589403227578
"8";"12000 - JUSTICA FEDERAL";"12S9 - Reforma do Fórum Federal Criminal e Previdenciário de São Paulo - SP";"Aumentos";2e+06;1e+06;1e+06;1
"9";"12000 - JUSTICA FEDERAL";"12SK - Reforma do Edifício-Sede da Seção Judiciária em Maceió - AL";"Aumentos";742000;200067;541933;2,70875756621532
"10";"12000 - JUSTICA FEDERAL";"12SN - Reforma do Edifício-Sede da Justiça Federal em Arapiraca - AL";"Aumentos";250000;77383;172617;2,23068374190714
"11";"12000 - JUSTICA FEDERAL";"13FR - Reforma do Fórum Federal de Ribeirão Preto - SP";"Aumentos";1450000;550000;9e+05;1,63636363636364
"12";"12000 - JUSTICA FEDERAL";"14YL - Reforma do Complexo de Imóveis da Seção Judiciária de Salvador - BA";"Aumentos";2e+06;5e+05;1500000;3
"13";"12000 - JUSTICA FEDERAL";"14YO - Reforma da Sede Administrativa da Justiça Federal de São Paulo - SP";"Aumentos";507000;85000;422000;4,96470588235294
"14";"12000 - JUSTICA FEDERAL";"153C - Construção de Galpão para Arquivo e Depósito Judicial para a Justiça Federal em Brasília";"Reduções";572538;1060000;-487462;0,851405496229071
"15";"12000 - JUSTICA FEDERAL";"158C - Reforma do Edifício-Sede I da Justiça Federal no Distrito Federal - DF";"Aumentos";1308793;5e+05;808793;1,617586
"16";"12000 - JUSTICA FEDERAL";"158N - Reforma do Edifício-Sede da Seção Judiciária em Aracaju - SE";"Aumentos";1e+06;5e+05;5e+05;1
"17";"12000 - JUSTICA FEDERAL";"158O - Reforma do Edifício-Sede da Justiça Federal em Recife - PE";"Reduções";406124;1e+06;-593876;1,46230215402192
"18";"12000 - JUSTICA FEDERAL";"158T - Reforma do Juizado Especial Federal de São Paulo - SP - 2ª ETAPA";"Aumentos";1108542;5e+05;608542;1,217084
"19";"12000 - JUSTICA FEDERAL";"15NX - Reforma do Fórum Federal de Santos - SP";"Reduções";5e+05;1e+06;-5e+05;1
"20";"12000 - JUSTICA FEDERAL";"15PH - Reforma do Edifício-Sede da Justiça Federal em Teresina - PI";"Reduções";1114731;2805329;-1690598;1,51659727772889
"21";"12000 - JUSTICA FEDERAL";"15QA - Reforma do Fórum Federal de Barueri - SP";"Aumentos";1009596;2e+05;809596;4,04798
"22";"12000 - JUSTICA FEDERAL";"15R9 - Reforma do Edifício-Sede da Seção Judiciária em Porto Velho - RO";"Aumentos";2456494;1e+06;1456494;1,456494
"23";"12000 - JUSTICA FEDERAL";"15S7 - Reforma do Edifício-Sede da Subseção Judiciária de São João Del Rei - MG";"Aumentos";3971600;2e+06;1971600;0,9858
"24";"12000 - JUSTICA FEDERAL";"15S8 - Implantação de Sistema de Energia Solar na Justiça Federal da 1ª Região";"Aumentos";2540036;1e+06;1540036;1,540036
"25";"12000 - JUSTICA FEDERAL";"15T9 - Reforma do Fórum Marilena Franco no Rio de Janeiro - RJ";"Aumentos";6e+06;1488375;4511625;3,03124212648022
"26";"12000 - JUSTICA FEDERAL";"7V68 - Reforma do Edifício-Sede da Seção Judiciária em Natal - RN";"Reduções";250000;3070000;-2820000;11,28
"27";"13000 - JUSTICA MILITAR";"7808 - Construção de Edifício-Sede do Superior Tribunal Militar";"Reduções";5e+05;1e+06;-5e+05;1
"28";"15000 - JUSTICA DO TRABALHO";"0536 - Benefícios de Legislação Especial";"Aumentos";12454903;395250;12059653;30,5114560404807
"29";"15000 - JUSTICA DO TRABALHO";"0Z00 - Reserva de Contingência - Financeira";"Aumentos";16589270;711880;15877390;22,3034640669776
"30";"15000 - JUSTICA DO TRABALHO";"0Z01 - Reserva de Contingência Fiscal - Primária";"Aumentos";127029496;7294224;119735272;16,4150802059273
"31";"15000 - JUSTICA DO TRABALHO";"134D - Construção do Edifício-Sede do Fórum Trabalhista de Novo Hamburgo - RS";"Reduções";1e+05;3e+05;-2e+05;2
"32";"15000 - JUSTICA DO TRABALHO";"1B51 - Construção do Edifício-Sede do Tribunal Regional do Trabalho da 17ª Região em Vitória - ES";"Aumentos";2,6e+07;2e+06;2,4e+07;12
"33";"15000 - JUSTICA DO TRABALHO";"219I - Publicidade Institucional e de Utilidade Pública";"Aumentos";29953911;15755368;14198543;0,901187646013727
"34";"15000 - JUSTICA DO TRABALHO";"2C73 - Manutenção do Sistema Integrado de Gestão da Informação Jurisdicional na Justiça do Trabalho (E-Jus)";"Aumentos";23762688;7117286;16645402;2,33872883568259
"35";"16000 - JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS";"13ZW - Construção do Complexo de Armazenamento do TJDFT";"Aumentos";1321000;4e+05;921000;2,3025
"36";"16000 - JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS";"3751 - Implantação de Juizados Especiais Cíveis e Criminais";"Reduções";50000;1e+05;-50000;1
"37";"16000 - JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS";"7V65 - Construção da Sede do Sistema de Justiça da Infância e da Juventude em Brasília - DF";"Reduções";50000;1e+05;-50000;1
"38";"20000 - Presidência da República";"00OQ - Contribuições a Organismos Internacionais sem Exigência de Programação Específica";"Aumentos";420000;230000;190000;0,826086956521739
"39";"20000 - Presidência da República";"0Z00 - Reserva de Contingência - Financeira";"Reduções";42387546;152048900;-109661354;2,58711259198633
"40";"20000 - Presidência da República";"2004 - Assistência Médica e Odontológica aos Servidores Civis, Empregados, Militares e seus Dependentes";"Reduções";10331753;35520556;-25188803;2,4379989533238
"41";"20000 - Presidência da República";"212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes";"Reduções";28798880;55769559;-26970679;0,936518329879495
"42";"20000 - Presidência da República";"21AN - Coordenação , Elaboração e Proposições para Modernização do Estado";"Aumentos";3e+06;1e+06;2e+06;2
"43";"20000 - Presidência da República";"21AP - Apoio à Implementação da Política Nacional de Segurança da Informação";"Aumentos";1680000;5e+05;1180000;2,36
"44";"20000 - Presidência da República";"2B27 - Proteção e Desenvolvimento do Programa Nuclear Brasileiro";"Aumentos";1280000;660000;620000;0,939393939393939
"45";"20000 - Presidência da República";"6662 - Assessoramento no Planejamento Nacional e na Formulação de Políticas Públicas de Longo Prazo";"Aumentos";1945208;1e+06;945208;0,945208
"46";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"0061 - Concessão de Crédito para Aquisição de Imóveis Rurais - BANCO DA TERRA";"Reduções";78823333;169008042;-90184709;1,14413721886132
